date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:57	28505/28505	U-----	200	untouched ('OK')	text/html	etag:%221538402487-0%22	http://hava-skafferisalonger.se/	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/index.html	(from )
16:54:12	30292/30292	---M-Z	200	added ('OK')	text/html	etag:%227654-52365334e6cc0;98-4e927a8cf5900-gzip%22	http://www.w3.org/1999/xhtml/vocab	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/www.w3.org/1999/xhtml/vocab.html	(from http://hava-skafferisalonger.se/)
16:54:12	3008/3008	---M-Z	200	added ('OK')	text/css	etag:%2219214ac-416-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from http://hava-skafferisalonger.se/)
16:54:12	1316/1316	---M-Z	200	added ('OK')	text/css	etag:%2219214a2-1e4-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/css/css_ZwQ4JegYk9_vB7LtvEKjfjeVcLzDAa88SNWeshZo5Jw.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_ZwQ4JegYk9_vB7LtvEKjfjeVcLzDAa88SNWeshZo5Jw.css	(from http://hava-skafferisalonger.se/)
16:54:13	3550/3550	---M-Z	200	added ('OK')	text/css	etag:%2219214c4-41a-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/css/css_yQ6smDmleylcgmmsq2etXLXltNj1PnXpnN6uMBf3qDg.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_yQ6smDmleylcgmmsq2etXLXltNj1PnXpnN6uMBf3qDg.css	(from http://hava-skafferisalonger.se/)
16:54:13	20426/20426	---M-Z	200	added ('OK')	text/css	etag:%221921488-ffe-5590dd239bf00%22	http://hava-skafferisalonger.se/sites/default/files/css/css_BUkigv0o_hYaQY5uiV9jwwF71WsmWqZeMeERTmNDBgQ.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_BUkigv0o_hYaQY5uiV9jwwF71WsmWqZeMeERTmNDBgQ.css	(from http://hava-skafferisalonger.se/)
16:54:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Oct%202018%2014:54:13%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.5/css/bootstrap.min.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/cdn.jsdelivr.net/bootstrap/3.3.5/css/bootstrap.min.5.delayed	(from http://hava-skafferisalonger.se/)
16:54:13	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-CN+alnUoUvLL0xDDD6zZNONIwsU%22	https://cdn.jsdelivr.net/bootstrap/3.3.5/css/bootstrap.min.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/cdn.jsdelivr.net/bootstrap/3.3.5/css/bootstrap.min.css	(from http://hava-skafferisalonger.se/)
16:54:14	64204/64204	---M-Z	200	added ('OK')	text/css	etag:%2219214b0-215a-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/css/css_nfF918FkHev-pXvAFXGUeAadbtECSMf58dl2Ic1uC7w.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_nfF918FkHev-pXvAFXGUeAadbtECSMf58dl2Ic1uC7w.css	(from http://hava-skafferisalonger.se/)
16:54:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Oct%202018%2014:54:14%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.5/js/bootstrap.min.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/cdn.jsdelivr.net/bootstrap/3.3.5/js/bootstrap.min.js	(from http://hava-skafferisalonger.se/)
